"Rowid_","VALUE_","COUNT_","AREA","MIN_","MAX_","RANGE","MEAN","STD","SUM_"
,1,59,59000000.000000,31.777891,31.777891,0.000000,31.777891,0.000000,1874.895629
,2,63,63000000.000000,35.883750,35.883750,0.000000,35.883750,0.000000,2260.676269
,3,63,63000000.000000,25.435777,25.435777,0.000000,25.435777,0.000000,1602.453979
,4,64,64000000.000000,18.505292,18.505292,0.000000,18.505292,0.000000,1184.338745
,5,64,64000000.000000,25.952600,25.952600,0.000000,25.952600,0.000000,1660.966430
,6,59,59000000.000000,23.228576,23.228576,0.000000,23.228576,0.000000,1370.486083
,7,58,58000000.000000,136.578552,136.578552,0.000000,136.578552,0.000000,7921.556152
,8,59,59000000.000000,25.952600,25.952600,0.000000,25.952600,0.000000,1531.203369
,9,60,60000000.000000,109.611610,109.611610,0.000000,109.611610,0.000000,6576.696777
,10,57,57000000.000000,25.952600,25.952600,0.000000,25.952600,0.000000,1479.298217
,11,59,59000000.000000,21.046621,21.046621,0.000000,21.046621,0.000000,1241.750610
,12,60,60000000.000000,48.781711,48.781711,0.000000,48.781711,0.000000,2926.902587
,13,58,58000000.000000,295.161804,295.161804,0.000000,295.161804,0.000000,17119.384765
,14,60,60000000.000000,22.937467,22.937467,0.000000,22.937467,0.000000,1376.248046
,15,60,60000000.000000,16.907199,16.907199,0.000000,16.907199,0.000000,1014.432006
,16,60,60000000.000000,376.635101,376.635101,0.000000,376.635101,0.000000,22598.105468
,17,57,57000000.000000,91.743606,91.743606,0.000000,91.743606,0.000000,5229.385742
,18,59,59000000.000000,17.213823,17.213823,0.000000,17.213823,0.000000,1015.615600
,19,58,58000000.000000,16.907199,16.907199,0.000000,16.907199,0.000000,980.617614
,20,58,58000000.000000,16.907199,16.907199,0.000000,16.907199,0.000000,980.617614
,21,58,58000000.000000,389.071990,389.071990,0.000000,389.071990,0.000000,22566.175781
,22,59,59000000.000000,19.119573,19.119573,0.000000,19.119573,0.000000,1128.054809
,23,57,57000000.000000,16.907199,16.907199,0.000000,16.907199,0.000000,963.710388
,24,58,58000000.000000,16.907199,16.907199,0.000000,16.907199,0.000000,980.617614
,25,58,58000000.000000,16.907199,16.907199,0.000000,16.907199,0.000000,980.617614
,26,59,59000000.000000,29.540069,29.540069,0.000000,29.540069,0.000000,1742.864135
,27,59,59000000.000000,5.811292,5.811292,0.000000,5.811292,0.000000,342.866271
,28,64,64000000.000000,389.071990,389.071990,0.000000,389.071990,0.000000,24900.607421
,29,64,64000000.000000,320.208892,320.208892,0.000000,320.208892,0.000000,20493.369140
,30,64,64000000.000000,20.272426,20.272426,0.000000,20.272426,0.000000,1297.435302
,31,65,65000000.000000,16.311565,16.311565,0.000000,16.311565,0.000000,1060.251708
,32,64,64000000.000000,17.281282,17.281282,0.000000,17.281282,0.000000,1106.002075
,33,65,65000000.000000,26.243345,26.243345,0.000000,26.243345,0.000000,1705.817382
,34,63,63000000.000000,6.309035,6.309035,0.000000,6.309035,0.000000,397.469268
,35,64,64000000.000000,6.309249,6.309249,0.000000,6.309249,0.000000,403.791961
,36,64,64000000.000000,389.071990,389.071990,0.000000,389.071990,0.000000,24900.607421
,37,63,63000000.000000,23.433700,23.433700,0.000000,23.433700,0.000000,1476.323120
,38,62,62000000.000000,17.338977,17.338977,0.000000,17.338977,0.000000,1075.016601
,39,63,63000000.000000,35.152656,35.152656,0.000000,35.152656,0.000000,2214.617431
,40,63,63000000.000000,29.447879,29.447879,0.000000,29.447879,0.000000,1855.216430
,41,63,63000000.000000,9.610889,9.610889,0.000000,9.610889,0.000000,605.486022
,42,63,63000000.000000,6.322720,6.322720,0.000000,6.322720,0.000000,398.331359
,43,63,63000000.000000,6.309035,6.309035,0.000000,6.309035,0.000000,397.469268
,44,58,58000000.000000,73.866569,73.866569,0.000000,73.866569,0.000000,4284.261230
,45,59,59000000.000000,19.168537,19.168537,0.000000,19.168537,0.000000,1130.943725
,46,58,58000000.000000,16.105895,16.105895,0.000000,16.105895,0.000000,934.141967
,47,60,60000000.000000,39.252410,39.252410,0.000000,39.252410,0.000000,2355.144531
,48,58,58000000.000000,13.978769,13.978769,0.000000,13.978769,0.000000,810.768615
,49,59,59000000.000000,6.322720,6.322720,0.000000,6.322720,0.000000,373.040496
,50,59,59000000.000000,6.322720,6.322720,0.000000,6.322720,0.000000,373.040496
,51,59,59000000.000000,8.834470,8.834470,0.000000,8.834470,0.000000,521.233764
,52,58,58000000.000000,382.767883,382.767883,0.000000,382.767883,0.000000,22200.537109
,53,59,59000000.000000,22.110029,22.110029,0.000000,22.110029,0.000000,1304.491699
,54,59,59000000.000000,14.756299,14.756299,0.000000,14.756299,0.000000,870.621704
,55,60,60000000.000000,40.848499,40.848499,0.000000,40.848499,0.000000,2450.909912
,56,59,59000000.000000,40.848499,40.848499,0.000000,40.848499,0.000000,2410.061523
,57,59,59000000.000000,4.156740,4.156740,0.000000,4.156740,0.000000,245.247695
,58,59,59000000.000000,6.322720,6.322720,0.000000,6.322720,0.000000,373.040496
,59,59,59000000.000000,9.785868,9.785868,0.000000,9.785868,0.000000,577.366271
,60,58,58000000.000000,51.145389,51.145389,0.000000,51.145389,0.000000,2966.432617
,61,59,59000000.000000,79.117149,79.117149,0.000000,79.117149,0.000000,4667.911621
,62,57,57000000.000000,16.129573,16.129573,0.000000,16.129573,0.000000,919.385681
